site,id,year,api_ok,n_det,n_person,n_vehicle,n_sidewalk,n_road,n_vegetation,n_marking,n_sign
Bay Area Boulevard,1908973850002167,2025,True,216,1,13,5,20,18,0,0
Bay Area Boulevard,1391447025684238,2025,True,203,2,13,3,13,18,0,0
Bay Area Boulevard,1237884774865550,2025,True,196,2,10,8,14,6,0,0
Bay Area Boulevard,658999220496666,2025,True,214,2,12,0,20,9,0,0
Bay Area Boulevard,814578917872489,2025,True,201,1,9,6,12,15,0,0
Bay Area Boulevard,1163324612132325,2025,True,171,2,10,3,19,7,0,0
Bay Area Boulevard,1886221545439597,2025,True,251,1,12,10,33,12,1,0
Bay Area Boulevard,2347315369031067,2025,True,184,2,14,0,10,11,0,0
Bay Area Boulevard,1339344357360557,2025,True,230,2,11,0,19,20,0,0
Bay Area Boulevard,1855050561767608,2025,True,201,2,11,16,30,9,0,0
Bay Area Boulevard,665604566488241,2025,True,183,1,12,5,16,8,0,0
Bay Area Boulevard,1889413398327749,2025,True,177,1,9,1,9,8,0,0
Bay Area Boulevard,822671083719600,2025,True,161,1,9,4,17,7,0,0
Bay Area Boulevard,698884792924543,2025,True,156,1,7,5,19,11,0,0
Bay Area Boulevard,1093809792722067,2025,True,187,1,7,4,20,13,0,0
Bay Area Boulevard,1333732841300975,2025,True,168,1,4,2,26,20,0,0
Bay Area Boulevard,4225725060906577,2025,True,162,1,2,7,14,20,0,0
Bay Area Boulevard,1905300403673504,2025,True,180,1,6,12,25,20,0,0
Bay Area Boulevard,821270908822109,2012,True,4,0,0,0,0,0,0,0
Bay Area Boulevard,480706729684743,2012,True,3,0,0,0,0,0,0,0
Bay Area Boulevard,544064180331361,2012,True,3,0,0,0,0,0,0,0
Bay Area Boulevard,460989254979267,2012,True,5,0,0,0,0,0,0,0
Bay Area Boulevard,206226247776151,2012,True,3,0,0,0,0,0,0,0
Bay Area Boulevard,367848941323519,2012,True,3,0,0,0,0,0,0,0
Bay Area Boulevard,207660920955652,2012,True,3,0,0,0,0,0,0,0
Bay Area Boulevard,142795054432202,2012,True,3,0,0,0,0,0,0,0
Bay Area Boulevard,203104024979470,2012,True,5,0,0,0,0,0,0,0
Bay Area Boulevard,989972404871066,2012,True,4,0,0,0,0,0,0,0
Bay Area Boulevard,288707049659792,2012,True,5,0,0,0,0,0,0,0
Bay Area Boulevard,467427231214008,2012,True,5,0,0,0,0,0,0,0
Bay Area Boulevard,919236325314828,2012,True,6,0,0,0,0,0,0,0
Bay Area Boulevard,467972514509465,2012,True,4,0,0,0,0,0,0,0
Bay Area Boulevard,1187963131719761,2012,True,3,0,0,0,0,0,0,0
Bay Area Boulevard,947428916070025,2012,True,5,0,0,0,0,0,0,0
Bay Area Boulevard,524394728589257,2012,True,4,0,0,0,0,0,0,0
Bay Area Boulevard,155595386438457,2012,True,7,0,0,0,0,0,0,0
Bay Area Boulevard,958566071570423,2012,True,6,0,0,0,0,0,0,0
Bay Area Boulevard,263982105478211,2012,True,6,0,0,0,0,0,0,0
Bay Area Boulevard,165892402128934,2012,True,6,0,0,0,0,0,0,0
Bay Area Boulevard,801603547459032,2012,True,5,0,0,0,0,0,0,0
Bay Area Boulevard,223396495804119,2012,True,5,0,0,0,0,0,0,0
Bay Area Boulevard,481660053255911,2012,True,4,0,0,0,0,0,0,0
Bay Area Boulevard,815995199295748,2012,True,2,0,0,0,0,0,0,0
Bay Area Boulevard,2905625316359886,2012,True,14,0,0,0,0,0,0,0
Bay Area Boulevard,309590583906387,2012,True,14,0,0,0,0,0,0,0
Bay Area Boulevard,916802568889323,2012,True,9,0,0,0,0,0,0,0
Bay Area Boulevard,481161409662873,2012,True,14,0,0,0,0,0,0,0
Bay Area Boulevard,657469538420480,2012,True,14,0,0,0,0,0,0,0
Bay Area Boulevard,4071369482885441,2012,True,7,0,0,0,0,0,0,0
Bay Area Boulevard,308218770792723,2012,True,7,0,0,0,0,0,0,0
Bay Area Boulevard,300471041608744,2012,True,7,0,0,0,0,0,0,0
Bay Area Boulevard,1140186049823369,2012,True,6,0,0,0,0,0,0,0
Bay Area Boulevard,303012057982227,2012,True,6,0,0,0,0,0,0,0
Bay Area Boulevard,1304453616616065,2012,True,5,0,0,0,0,0,0,0
Bay Area Boulevard,182536810395398,2012,True,6,0,0,0,0,0,0,0
Bay Area Boulevard,376206713691788,2012,True,4,0,0,0,0,0,0,0
Bay Area Boulevard,4498332410181065,2012,True,1,0,0,0,0,0,0,0
Bay Area Boulevard,810201013240549,2012,True,4,0,0,0,0,0,0,0
Bay Area Boulevard,217978436447460,2012,True,17,0,0,0,0,0,0,1
Bay Area Boulevard,487995605585793,2012,True,13,0,0,0,0,0,0,0
Bay Area Boulevard,934282793807218,2012,True,16,0,0,0,0,0,0,0
Bay Area Boulevard,3985646341518383,2012,True,13,0,0,0,0,0,0,1
Bay Area Boulevard,540186220303138,2012,True,13,0,0,0,0,0,0,1
Bay Area Boulevard,1983277951852602,2012,True,13,0,0,0,0,0,0,0
Bay Area Boulevard,815305769385098,2012,True,12,0,0,0,0,0,0,0
Bay Area Boulevard,1388416524891122,2012,True,11,0,0,0,0,0,0,0
Bay Area Boulevard,1128138921019526,2012,True,12,0,0,0,0,0,0,0
Bay Area Boulevard,816702605626026,2012,True,10,0,0,0,0,0,0,0
Bay Area Boulevard,678510066250816,2012,True,10,0,0,0,0,0,0,0
Bay Area Boulevard,378266636787370,2012,True,12,0,0,0,0,0,0,0
Bay Area Boulevard,905731823332465,2012,True,8,0,0,0,0,0,0,0
Bay Area Boulevard,1377348595959344,2012,True,6,0,0,0,0,0,0,0
Bay Area Boulevard,946378282796729,2012,True,8,0,0,0,0,0,0,0
Bay Area Boulevard,473249200397537,2012,True,9,0,0,0,0,0,0,0
Bay Area Boulevard,273819817821599,2012,True,10,0,0,0,0,0,0,0
Bay Area Boulevard,3984875084926898,2012,True,11,0,0,0,0,0,0,0
Bay Area Boulevard,879656555948666,2012,True,10,0,0,0,0,0,0,0
Bay Area Boulevard,377257596904051,2012,True,9,0,0,0,0,0,0,0
Bay Area Boulevard,886100422233166,2012,True,12,0,0,0,0,0,0,0
Bay Area Boulevard,775245656713732,2012,True,11,0,0,0,0,0,0,0
Bay Area Boulevard,768003950774609,2012,True,11,0,0,0,0,0,0,0
Bay Area Boulevard,516848995997047,2012,True,9,0,0,0,0,0,0,0
Bay Area Boulevard,209198400799152,2012,True,9,0,0,0,0,0,0,0
Vassar Street,479312319972767,2019,True,0,0,0,0,0,0,0,0
Vassar Street,519014382437136,2019,True,1,0,0,0,0,0,0,0
Vassar Street,147259447372510,2019,True,1,0,0,0,0,0,0,0
Vassar Street,172925448053339,2019,True,1,0,0,0,0,0,0,0
Vassar Street,320818656293593,2019,True,2,0,0,0,0,0,0,0
Vassar Street,281233993644437,2019,True,2,0,0,0,0,0,0,0
Vassar Street,956860831522369,2019,True,1,0,0,0,0,0,0,0
Vassar Street,3928196440589255,2019,True,1,0,0,0,0,0,0,0
Vassar Street,501760781012973,2019,True,1,0,0,0,0,0,0,0
Vassar Street,600850914222345,2019,True,3,0,0,0,0,0,0,0
Vassar Street,805315937073242,2019,True,0,0,0,0,0,0,0,0
Vassar Street,895036314408605,2019,True,2,0,0,0,0,0,0,0
Vassar Street,481918306366603,2019,True,2,0,0,0,0,0,0,0
Vassar Street,1641812949343753,2019,True,3,0,0,0,0,0,0,0
Vassar Street,4593356567345915,2019,True,2,0,0,0,0,0,0,0
Vassar Street,134714101982510,2019,True,2,0,0,0,0,0,0,0
Vassar Street,512856009740075,2019,True,2,0,0,0,0,0,0,0
Vassar Street,1094064277753079,2019,True,4,0,0,0,0,0,0,0
Vassar Street,1629320043931343,2019,True,1,0,0,0,0,0,0,0
Vassar Street,780133962929944,2019,True,2,0,0,0,0,0,0,0
Vassar Street,367610001346822,2019,True,3,0,0,0,0,0,0,0
Vassar Street,1375560036133882,2019,True,4,0,0,0,0,0,0,0
Vassar Street,225049822290087,2019,True,3,0,0,0,0,0,0,0
Vassar Street,292656052458575,2019,True,4,0,0,0,0,0,0,0
Vassar Street,497768101423481,2019,True,4,0,0,0,0,0,0,0
Vassar Street,6127020683982135,2019,True,1,0,0,0,0,0,0,0
Vassar Street,856257784962022,2019,True,1,0,0,0,0,0,0,0
Vassar Street,955333815301133,2019,True,0,0,0,0,0,0,0,0
Vassar Street,269771631547769,2019,True,1,0,0,0,0,0,0,0
Vassar Street,396324934704382,2019,True,0,0,0,0,0,0,0,0
Vassar Street,844552206133929,2019,True,2,0,0,0,0,0,0,1
Vassar Street,485550816198784,2019,True,1,0,0,0,0,0,0,0
Vassar Street,226119565939347,2019,True,1,0,0,0,0,0,0,0
Vassar Street,543239597081705,2019,True,1,0,0,0,0,0,0,0
Vassar Street,1213425202442299,2019,True,2,0,0,0,0,0,0,0
Vassar Street,501931587795604,2019,True,3,0,0,0,0,0,0,0
Vassar Street,220317549524972,2019,True,3,0,0,0,0,0,0,0
Vassar Street,466794121319438,2019,True,5,0,0,0,0,0,0,1
Vassar Street,1615953565461161,2019,True,1,0,0,0,0,0,0,0
Vassar Street,377196763630191,2019,True,2,0,0,0,0,0,0,0
Vassar Street,812099303036629,2019,True,4,0,0,0,0,0,0,1
Vassar Street,294158965574650,2019,True,4,0,0,0,0,0,0,1
Vassar Street,248624720373398,2019,True,3,0,0,0,0,0,0,0
Vassar Street,166355462082739,2019,True,3,0,0,0,0,0,0,0
Vassar Street,467964997763984,2019,True,2,0,0,0,0,0,0,0
Vassar Street,3994830580566434,2019,True,3,0,0,0,0,0,0,0
